Sequence,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked,,,,,,,,,,,,,,,,,
8949,0.624,7,-6.764,0,0.0477,0.451,0.000734,0.1,0.628,95.968,304524,4,0,,,,,,,,,,,,,,,,,
29725,0.703,10,-7.951,0,0.306,0.206,0,0.0912,0.519,151.329,247178,4,1,,,,,,,,,,,,,,,,,
11561,0.0149,1,-27.528,1,0.0419,0.992,0.897,0.102,0.0382,75.296,286987,4,0,,,,,,,,,,,,,,,,,
33241,0.736,3,-6.994,0,0.0585,0.431,1.18E-06,0.123,0.582,89.86,208920,4,1,234324,23432,434,32,43,4,34,34,3,43,4,34,3432,432,4,32,434
666,0.572,1,-7.516,1,0.222,0.145,0,0.0753,0.647,155.117,179413,4,1,234324,23432,434,32,43,4,34,34,3,43,4,34,3432,432,4,32,434
21651,0.632,8,-6.415,1,0.125,0.0404,0,0.0912,0.827,140.951,224029,4,1,234324,23432,434,32,43,4,34,34,3,43,4,34,3432,432,4,32,434
28806,0.589,0,-8.405,0,0.324,0.555,0,0.114,0.776,74.974,146053,4,1,234324,23432,434,32,43,4,34,34,3,43,4,34,3432,432,4,32,434
402,0.712,7,-6.024,1,0.171,0.0779,3.96E-05,0.175,0.904,104.964,161800,4,1,234324,23432,434,32,43,4,34,34,3,43,4,34,3432,432,4,32,434
27107,0.659,7,-7.063,0,0.0498,0.143,0.00224,0.0944,0.308,112.019,247460,4,0,,,,,,,,,,,,,,,,,
699,0.668,3,-6.995,1,0.447,0.263,0,0.104,0.745,157.995,165363,4,1,234324,23432,434,32,43,4,34,34,3,43,4,34,3432,432,4,32,434
29452,0.993,9,-7.173,1,0.118,5.66E-05,0.77,0.0766,0.178,127.693,182427,4,0,,,,,,,,,,,,,,,,,
23853,0.433,1,-9.19,1,0.241,0.00471,0,0.132,0.676,147.942,225000,4,1,,,,,,,,,,,,,,,,,
25619,0.973,1,-4.505,1,0.151,0.00146,0.918,0.139,0.234,102.757,170520,4,0,,,,,,,,,,,,,,,,,
5826,0.743,6,-5.782,1,0.22,0.584,0,0.101,0.191,168.849,185667,4,1,,,,,,,,,,,,,,,,,
8722,0.957,8,-2.336,1,0.0741,0.0431,0,0.0789,0.692,134.992,178013,4,1,,,,,,,,,,,,,,,,,
6588,0.64,5,-9.906,0,0.0309,0.221,0.0102,0.179,0.777,106.023,234267,4,0,,,,,,,,,,,,,,,,,
4167,0.853,8,-5.65,1,0.123,0.0155,0,0.105,0.734,142.03,136901,4,1,,,,,,,,,,,,,,,,,
5764,0.456,8,-9.482,1,0.0874,0.44,0,0.072,0.124,94.032,314367,4,0,,,,,,,,,,,,,,,,,
2156,0.475,1,-10.889,1,0.154,0.523,0,0.113,0.235,117.006,201384,4,1,,,,,,,,,,,,,,,,,
11399,0.852,8,-5.202,1,0.241,0.0555,2.45E-05,0.0536,0.48,136.035,102353,4,1,,,,,,,,,,,,,,,,,
31972,0.835,9,-3.832,1,0.202,0.165,0,0.112,0.609,150.04,139240,4,1,,,,,,,,,,,,,,,,,
19061,0.0825,9,-21.686,0,0.0695,0.983,0.0749,0.0461,0.37,106.275,270000,5,0,,,,,,,,,,,,,,,,,
6491,0.549,5,-8.6,0,0.0631,0.268,0.00496,0.0984,0.498,138.984,184627,4,1,,,,,,,,,,,,,,,,,
7041,0.535,4,-12.028,1,0.376,0.274,0,0.0984,0.205,180.036,176000,3,1,,,,,,,,,,,,,,,,,
22767,0.533,9,-10.104,0,0.444,0.747,4.54E-06,0.0848,0.422,155.999,225953,4,0,,,,,,,,,,,,,,,,,
14505,0.457,1,-7.908,1,0.237,0.0987,0,0.0967,0.193,101.052,210733,4,1,,,,,,,,,,,,,,,,,
17139,0.545,4,-7.712,0,0.0514,0.271,7.34E-06,0.102,0.113,76.503,240924,4,1,,,,,,,,,,,,,,,,,
28476,0.574,5,-8.546,0,0.385,0.4,0,0.105,0.756,151.974,185493,4,1,,,,,,,,,,,,,,,,,
21538,0.839,6,-4.847,1,0.297,0.0867,0,0.204,0.804,172.068,111000,4,1,,,,,,,,,,,,,,,,,
10408,0.333,8,-13.553,1,0.526,0.0608,0,0.157,0.313,148.168,98615,4,1,,,,,,,,,,,,,,,,,
14928,0.68,7,-6.551,0,0.0774,0.392,1.22E-06,0.107,0.567,75.445,168574,4,1,,,,,,,,,,,,,,,,,
22293,0.459,6,-12.072,0,0.118,0.0499,1.00E-06,0.408,0.525,159.021,186415,4,1,,,,,,,,,,,,,,,,,
4324,0.98,1,-5.138,1,0.153,0.00127,0.091,0.102,0.257,79.792,270920,4,0,,,,,,,,,,,,,,,,,
26966,0.581,10,-9.026,0,0.339,0.753,1.39E-06,0.13,0.351,76.506,169347,4,1,,,,,,,,,,,,,,,,,
